studio_name,url_type,url,status_code,status_label,final_url,redirected,error
スタジオハイシー,Webサイト,https://studio-hide-and-seek.co.jp/,200.0,OK,https://studio-hide-and-seek.co.jp/,False,
レンタルスタジオswamp西新宿,Webサイト,https://www.st-swamp2023.com/,200.0,OK,https://www.st-swamp2023.com/,False,
ソニズレンタルスタジオ新宿店,Webサイト,https://sonysdance.com/,200.0,OK,https://sonysdance.com/,False,
BUZZ新宿,Webサイト,https://buzz-st.com/shinjuku/,404.0,NOT_FOUND,https://buzz-st.com/shinjuku,False,
レンタルダンススタジオ LANDstudio 新宿店,Webサイト,https://land-studio.jp/?utm_source=gbp&utm_medium=referral,,CONNECTION_ERROR,,False,"CONNECTION_ERROR: HTTPSConnectionPool(host='land-studio.jp', port=443): Max retries exceeded with "
BUZZ レンタルスタジオ新宿コンシェルジュ店,Webサイト,https://buzz-st.com/shinjuku4,404.0,NOT_FOUND,https://buzz-st.com/shinjuku4,False,
BUZZ レンタルスタジオ 新宿ハウス店,Webサイト,https://buzz-st.com/shinjuku2/,404.0,NOT_FOUND,https://buzz-st.com/shinjuku2,False,
村田正樹タップダンス教室,Webサイト,https://www.muratamasaki.com/lesson,404.0,NOT_FOUND,https://www.muratamasaki.com/lesson,False,
㈱Tera-coya,Webサイト,http://teracoya.tokyo/,200.0,OK,https://teracoya.tokyo/,True,
ラシーヌスタジオ,Webサイト,https://racinestudio.com/,200.0,OK,https://racinestudio.com/,False,
Ohana Room Studio新宿,Webサイト,https://ohanaroom.jp/,200.0,OK,https://ohanaroom.jp/,False,
㈱フラオリタヒチ,Webサイト,https://www.hulaoritahiti.jp/,200.0,OK,https://www.hulaoritahiti.jp/,False,
[吉祥寺ダンススタジオ] Studio Amrita NORTH,Webサイト,http://rental.studioamrita.com/,200.0,OK,https://rental.studioamrita.com/,True,
新宿レンタルスタジオ アルファ,Webサイト,https://studioalpha88.wixsite.com/advisor-consult-jp,200.0,OK,https://studioalpha88.wixsite.com/advisor-consult-jp,False,
